lat,long,country_code,country_name,nearest_place,admin1
61.187826564,-149.88953359,US,United States,Anchorage,Alaska
21.4199487,-157.9560545,US,United States,Waimalu,Hawaii
20.878625226,-156.456276722,US,United States,Kahului,Hawaii
61.164506466,-149.869681249,US,United States,Anchorage,Alaska
21.462046518,-158.004213271,US,United States,Waipi'o Acres,Hawaii
61.141706769,-149.910509949,US,United States,Anchorage,Alaska
21.316089306,-158.017385448,US,United States,'Ewa Beach,Hawaii
21.3864724,-157.9964281,US,United States,Waipahu,Hawaii
20.832077736,-156.334100935,US,United States,Pukalani,Hawaii
20.879011691,-156.455034805,US,United States,Kahului,Hawaii
21.295587595,-157.84279109,US,United States,Honolulu,Hawaii
60.9873575,-149.5199806,US,United States,Elmendorf Air Force Base,Alaska
64.85727105,-147.690050988,US,United States,Fairbanks,Alaska
20.87856694,-156.48426766,US,United States,Kahului,Hawaii
61.6419898,-149.3233888,US,United States,Lakes,Alaska
21.381778973,-158.004011633,US,United States,Waipahu,Hawaii
21.324043223,-157.863012709,US,United States,Honolulu,Hawaii
61.50726621,-149.622424227,US,United States,Knik-Fairview,Alaska
61.1269671,-149.8611974,US,United States,Anchorage,Alaska
21.3631586,-158.0866985,US,United States,Makakilo,Hawaii
61.53551865,-149.6112976,US,United States,Knik-Fairview,Alaska
20.879220817,-156.4631609,US,United States,Kahului,Hawaii
19.708141492,-155.984594407,US,United States,Kalaoa,Hawaii
61.568975272,-149.36382793,US,United States,Lakes,Alaska
21.4452854,-158.0072876,US,United States,Mililani Town,Hawaii
21.39760669,-157.974972215,US,United States,"Pearl City, Manana",Hawaii
21.392053895,-158.004653217,US,United States,Waipahu,Hawaii
21.362907242,-158.037298068,US,United States,'Ewa Villages,Hawaii
21.333963438,-158.012348188,US,United States,'Ewa Beach,Hawaii
21.342320382,-158.074637526,US,United States,Makakilo City,Hawaii
19.606356605,-155.027668579,US,United States,Kea'au,Hawaii
21.451582404,-158.005963544,US,United States,Mililani Town,Hawaii
19.55950672,-154.994732632,US,United States,Orchidlands Estates,Hawaii
10.27974055,123.97204734,PH,Philippines,Gabi,Central Visayas
61.200352277,-149.730465091,US,United States,Elmendorf Air Force Base,Alaska
61.6056052,-149.5230583,US,United States,Meadow Lakes,Alaska
21.2954364,-157.8429763,US,United States,Honolulu,Hawaii
19.634964298,-155.988622896,US,United States,Kailua-Kona,Hawaii
61.139621333,-149.868308667,US,United States,Anchorage,Alaska
21.294644704,-157.842219218,US,United States,Honolulu,Hawaii
21.295547167,-157.842802,US,United States,Honolulu,Hawaii
21.3979475,-157.9746043,US,United States,"Pearl City, Manana",Hawaii
21.536766228,-158.024793723,US,United States,Whitmore Village,Hawaii
61.3096716,-149.5365408,US,United States,Eagle River,Alaska
61.6037263,-149.4366037,US,United States,Wasilla,Alaska
21.3428028,-158.0750263,US,United States,Makakilo City,Hawaii
21.308576143,-158.022443863,US,United States,'Ewa Beach,Hawaii
21.342601254,-158.074999281,US,United States,Makakilo City,Hawaii
41.406069868,2.204149126,ES,Spain,Sant Marti,Catalonia
20.878258817,-156.455767341,US,United States,Kahului,Hawaii
60.716849644,-151.316112753,US,United States,Nikiski,Alaska
61.315744909,-149.540072621,US,United States,Eagle River,Alaska
21.294616818,-157.843285573,US,United States,Honolulu,Hawaii
21.2981297,-157.8143915,US,United States,Honolulu,Hawaii
21.493622377,-158.02984854,US,United States,Wahiawa,Hawaii
21.3160185,-158.0258275,US,United States,'Ewa Beach,Hawaii
61.229561436,-149.742024591,US,United States,Elmendorf Air Force Base,Alaska
61.5683519,-149.3627284,US,United States,Lakes,Alaska
64.857005565,-147.690820305,US,United States,Fairbanks,Alaska
21.425462136,-157.951034203,US,United States,Waimalu,Hawaii
61.315497834,-149.496480854,US,United States,Eagle River,Alaska
21.3422334,-158.0748405,US,United States,Makakilo City,Hawaii
61.210852317,-149.742960669,US,United States,Elmendorf Air Force Base,Alaska
21.388037226,-157.946490125,US,United States,'Aiea,Hawaii
21.323661231,-157.838951288,US,United States,Honolulu,Hawaii
61.192267931,-149.880464992,US,United States,Anchorage,Alaska
21.342906529,-158.034745735,US,United States,'Ewa Gentry,Hawaii
61.5913447,-149.4605844,US,United States,Wasilla,Alaska
21.322790827,-157.857645239,US,United States,Honolulu,Hawaii
21.324480528,-157.85824782,US,United States,Honolulu,Hawaii
60.483619435,-151.00788623,US,United States,Soldotna,Alaska
61.568379034,-149.364203928,US,United States,Lakes,Alaska
20.873343133,-156.30314438,US,United States,Makawao,Hawaii
21.389832569,-157.99428467,US,United States,Waipahu,Hawaii
61.5679816,-149.3633932,US,United States,Lakes,Alaska
19.6052246,-155.0268149,US,United States,Kea'au,Hawaii
21.349442674,-158.037136546,US,United States,'Ewa Villages,Hawaii
61.2110716,-149.7420446,US,United States,Elmendorf Air Force Base,Alaska
61.1173353,-149.7165753,US,United States,Elmendorf Air Force Base,Alaska
21.3427183,-158.0759567,US,United States,Makakilo City,Hawaii
61.210879475,-149.741789186,US,United States,Elmendorf Air Force Base,Alaska
61.579916809,-149.530676924,US,United States,Meadow Lakes,Alaska
21.4722926,-157.9970378,US,United States,Waipi'o Acres,Hawaii
21.3906687,-158.0339765,US,United States,Royal Kunia,Hawaii
20.883698016,-156.46860911,US,United States,Kahului,Hawaii
64.8425255,-147.7540829,US,United States,Fairbanks,Alaska
61.192912336,-149.894721641,US,United States,Anchorage,Alaska
21.372799258,-158.051283521,US,United States,'Ewa Villages,Hawaii
61.5685898,-149.3640009,US,United States,Lakes,Alaska
21.294568458,-157.841602136,US,United States,Honolulu,Hawaii
21.336562271,-157.913198166,US,United States,Halawa Heights,Hawaii
61.222394463,-149.783759376,US,United States,Anchorage,Alaska
21.294573846,-157.842082506,US,United States,Honolulu,Hawaii
21.342484109,-158.074149275,US,United States,Makakilo City,Hawaii
61.568915573,-149.363634127,US,United States,Lakes,Alaska
21.342429505,-158.074561304,US,United States,Makakilo City,Hawaii
61.6165548,-149.1848834,US,United States,Farm Loop,Alaska
21.281779672,-157.828197084,US,United States,Honolulu,Hawaii
60.565509551,-151.283195407,US,United States,Kenai,Alaska
21.390669484,-158.034361419,US,United States,Royal Kunia,Hawaii
19.701018811,-155.063218445,US,United States,Hilo,Hawaii
20.877803962,-156.455687499,US,United States,Kahului,Hawaii
19.513014523,-154.903312455,US,United States,Nanawale Estates,Hawaii
21.396590187,-157.740634422,US,United States,Kailua,Hawaii
61.12895693,-149.85763594,US,United States,Anchorage,Alaska
19.556970299,-155.144100002,US,United States,Mountain View,Hawaii
21.338784613,-158.030628128,US,United States,'Ewa Gentry,Hawaii
21.329285719,-158.078250429,US,United States,Makakilo City,Hawaii
21.467615257,-158.213620255,US,United States,Makaha,Hawaii
21.281384831,-157.77275671,US,United States,Waimanalo,Hawaii
21.304535246,-157.836743471,US,United States,Honolulu,Hawaii
64.780656568,-147.498547148,US,United States,Badger,Alaska
21.397766551,-157.975596612,US,United States,"Pearl City, Manana",Hawaii
61.165686667,-149.82421,US,United States,Anchorage,Alaska
21.32076662,-157.9768256,US,United States,Iroquois Point,Hawaii
61.568166788,-149.363575728,US,United States,Lakes,Alaska
21.390878161,-158.034477813,US,United States,Village Park,Hawaii
21.500972718,-158.024311479,US,United States,Wahiawa,Hawaii
18.37068397,-66.001476182,PR,Puerto Rico,Trujillo Alto,Trujillo Alto
61.568393925,-149.363794276,US,United States,Lakes,Alaska
